zipcode,score,name,latitude,longitude
1701,0.5411197896,"FRAMINGHAM, MA 01701",42.32,-71.43
1702,0.54285882,"FRAMINGHAM, MA 01702",42.29,-71.43
1720,0.5656623587,"ACTON, MA 01720",42.48,-71.44
1742,0.5201836806,"CONCORD, MA 01742",42.46,-71.37
1752,0.8646890113,"MARLBOROUGH, MA 01752",42.35,-71.55
1760,0.7034348318,"NATICK, MA 01760",42.29,-71.35
1801,0.7894180915,"WOBURN, MA 01801",42.49,-71.15
1803,0.5866764703,"BURLINGTON, MA 01803",42.5,-71.2
1810,0.6115065475,"ANDOVER, MA 01810",42.65,-71.16
1876,0.5351694582,"TEWKSBURY, MA 01876",42.6,-71.22
1880,0.5791505323,"WAKEFIELD, MA 01880",42.5,-71.07
1906,0.6109179478,"SAUGUS, MA 01906",42.46,-71.01
1915,0.5627204324,"BEVERLY, MA 01915",42.56,-70.87
1923,0.557718716,"DANVERS, MA 01923",42.57,-70.95
1950,0.5222327056,"NEWBURYPORT, MA 01950",42.81,-70.88
1960,0.7882617597,"PEABODY, MA 01960",42.53,-70.96
1970,0.6772127462,"SALEM, MA 01970",42.52,-70.9
2021,0.6725451107,"CANTON, MA 02021",42.17,-71.13
2026,0.7875039772,"DEDHAM, MA 02026",42.24,-71.17
2038,0.537453793,"FRANKLIN, MA 02038",42.09,-71.41
2043,0.5913902735,"HINGHAM, MA 02043",42.23,-70.89
2062,0.6885113018,"NORWOOD, MA 02062",42.19,-71.2
2090,0.5549537713,"WESTWOOD, MA 02090",42.22,-71.21
2108,0.7953343622,"BOSTON, MA 02108",42.36,-71.07
2109,0.7289238691,"BOSTON, MA 02109",42.36,-71.05
2110,0.5209588528,"BOSTON, MA 02110",42.36,-71.05
2114,0.8157747019,"BOSTON, MA 02114",42.36,-71.07
2116,1,"BOSTON, MA 02116",42.35,-71.08
2127,0.5219353736,"BOSTON, MA 02127",42.33,-71.05
2129,0.5130188863,"CHARLESTOWN, MA 02129",42.38,-71.06
2132,0.7828699622,"WEST ROXBURY, MA 02132",42.28,-71.16
2135,0.7397162597,"BRIGHTON, MA 02135",42.35,-71.15
2138,0.7772674762,"CAMBRIDGE, MA 02138",42.38,-71.13
2139,0.6251006819,"CAMBRIDGE, MA 02139",42.36,-71.1
2148,0.6052964144,"MALDEN, MA 02148",42.43,-71.06
2155,0.7110333402,"MEDFORD, MA 02155",42.42,-71.11
2169,0.9011813676,"QUINCY, MA 02169",42.25,-71
2171,0.5331131847,"QUINCY, MA 02171",42.29,-71.02
2184,0.6423220629,"BRAINTREE, MA 02184",42.21,-71
2186,0.5415243472,"MILTON, MA 02186",42.25,-71.08
2210,0.5296829782,"BOSTON, MA 02210",42.35,-71.04
2301,0.5084058882,"BROCKTON, MA 02301",42.08,-71.04
2339,0.5396889826,"HANOVER, MA 02339",42.12,-70.86
2360,0.6833619862,"PLYMOUTH, MA 02360",41.9,-70.63
2445,0.5725062989,"BROOKLINE, MA 02445",42.33,-71.13
2446,0.5457745691,"BROOKLINE, MA 02446",42.34,-71.12
2451,0.6602257371,"WALTHAM, MA 02451",42.39,-71.25
2452,0.6059808103,"WALTHAM, MA 02452",42.39,-71.22
2453,0.5100899757,"WALTHAM, MA 02453",42.37,-71.24
2459,0.5437576573,"NEWTON CENTER, MA 02459",42.32,-71.19
2467,0.5641309935,"CHESTNUT HILL, MA 02467",42.32,-71.16
2472,0.5927961883,"WATERTOWN, MA 02472",42.37,-71.18
2474,0.5282640514,"ARLINGTON, MA 02474",42.42,-71.15
2481,0.8332818941,"WELLESLEY HILLS, MA 02481",42.31,-71.27
2494,0.508394643,"NEEDHAM HEIGHTS, MA 02494",42.3,-71.23
3079,0.570132657,"SALEM, NH 03079",42.79,-71.22
3103,0.5749988282,"MANCHESTER, NH 03103",42.97,-71.45
3104,0.5374951552,"MANCHESTER, NH 03104",43.01,-71.45
3801,0.7043573113,"PORTSMOUTH, NH 03801",43.07,-70.78
3820,0.5084063318,"DOVER, NH 03820",43.19,-70.88
6405,0.7251575507,"BRANFORD, CT 06405",41.28,-72.81
6410,0.6522131442,"CHESHIRE, CT 06410",41.51,-72.91
6437,0.5041964597,"GUILFORD, CT 06437",41.31,-72.7
6443,0.5474300878,"MADISON, CT 06443",41.3,-72.6
6450,0.7388786008,"MERIDEN, CT 06450",41.53,-72.78
6460,1,"MILFORD, CT 06460",41.22,-73.05
6470,0.556464587,"NEWTOWN, CT 06470",41.4,-73.31
6473,0.6826977243,"NORTH HAVEN, CT 06473",41.38,-72.86
6477,0.5925609458,"ORANGE, CT 06477",41.28,-73.02
6484,0.7008749714,"SHELTON, CT 06484",41.31,-73.13
6492,0.8089199084,"WALLINGFORD, CT 06492",41.46,-72.82
6511,0.9190733528,"NEW HAVEN, CT 06511",41.32,-72.93
6512,0.559099109,"EAST HAVEN, CT 06512",41.28,-72.88
6513,0.5033397867,"NEW HAVEN, CT 06513",41.32,-72.88
6514,0.5771081006,"HAMDEN, CT 06514",41.36,-72.94
6516,0.6219231257,"WEST HAVEN, CT 06516",41.27,-72.96
6517,0.5461897193,"HAMDEN, CT 06517",41.35,-72.91
6518,0.545414571,"HAMDEN, CT 06518",41.42,-72.91
6525,0.5088434973,"WOODBRIDGE, CT 06525",41.35,-73.01
6611,0.5754264917,"TRUMBULL, CT 06611",41.25,-73.21
6705,0.6656838346,"WATERBURY, CT 06705",41.55,-73
6708,0.7151527617,"WATERBURY, CT 06708",41.55,-73.06
6762,0.5510213504,"MIDDLEBURY, CT 06762",41.53,-73.12
6770,0.5646845863,"NAUGATUCK, CT 06770",41.49,-73.05
6801,0.5059435448,"BETHEL, CT 06801",41.38,-73.4
6804,0.6025925304,"BROOKFIELD, CT 06804",41.46,-73.4
6810,0.6898776596,"DANBURY, CT 06810",41.39,-73.45
6811,0.6845497259,"DANBURY, CT 06811",41.42,-73.47
6820,0.5905150745,"DARIEN, CT 06820",41.08,-73.48
6824,0.6739541445,"FAIRFIELD, CT 06824",41.16,-73.26
6830,1,"GREENWICH, CT 06830",41.03,-73.63
6831,0.7481717948,"GREENWICH, CT 06831",41.07,-73.66
6850,0.5772725959,"NORWALK, CT 06850",41.12,-73.44
6851,0.7828136302,"NORWALK, CT 06851",41.13,-73.41
6880,0.7606769966,"WESTPORT, CT 06880",41.14,-73.35
6897,0.631095863,"WILTON, CT 06897",41.2,-73.43
