x,longitude,latitude,date
1,-122.235639,37.462158,01/01/2004
2,-122.235639,37.462158,01/01/2005
3,-122.235639,37.462158,01/01/2006
4,-122.235639,37.462158,01/01/2007
5,-122.235639,37.462158,01/01/2008
6,-122.235639,37.462158,01/01/2009
7,-122.235639,37.462158,01/01/2010
8,-122.235639,37.462158,01/01/2011
9,-122.235639,37.462158,01/01/2012
10,-122.235639,37.462158,01/01/2013
11,-122.235639,37.462158,01/01/2014
12,-122.443182,37.74363,01/01/2007
13,-122.443182,37.74363,01/01/2008
14,-122.443182,37.74363,01/01/2009
15,-122.443182,37.74363,01/01/2010
16,-122.443182,37.74363,01/01/2011
17,-122.443182,37.74363,01/01/2012
18,-122.443182,37.74363,01/01/2013
19,-122.242029,37.85983,01/01/2013
20,-121.885066,37.238842,01/01/2003
21,-121.885066,37.238842,01/01/2004
22,-121.885066,37.238842,01/01/2005
23,-121.885066,37.238842,01/01/2006
24,-121.885066,37.238842,01/01/2007
25,-121.885066,37.238842,01/01/2008
26,-121.885066,37.238842,01/01/2009
27,-121.885066,37.238842,01/01/2010
28,-121.885066,37.238842,01/01/2011
29,-121.885066,37.238842,01/01/2012
30,-121.885066,37.238842,01/01/2013
31,-121.885066,37.238842,01/01/2014
32,-122.256729,37.866975,01/01/2010
33,-122.256729,37.866975,01/01/2011
34,-122.256729,37.866975,01/01/2012
35,-122.256729,37.866975,01/01/2013
36,-122.439332,37.758279,01/01/1993
37,-122.439332,37.758279,01/01/1994
38,-122.439332,37.758279,01/01/1995
39,-122.439332,37.758279,01/01/1996
40,-122.439332,37.758279,01/01/1997
41,-122.439332,37.758279,01/01/1998
42,-122.439332,37.758279,01/01/1999
43,-122.439332,37.758279,01/01/2000
44,-122.439332,37.758279,01/01/2001
45,-122.439332,37.758279,01/01/2002
46,-122.439332,37.758279,01/01/2003
47,-122.439332,37.758279,01/01/2004
48,-122.439332,37.758279,01/01/2005
49,-122.439332,37.758279,01/01/2006
50,-122.439332,37.758279,01/01/2007
51,-122.439332,37.758279,01/01/2008
52,-122.439332,37.758279,01/01/2009
53,-122.439332,37.758279,01/01/2010
54,-122.439332,37.758279,01/01/2011
55,-122.439332,37.758279,01/01/2012
56,-122.439332,37.758279,01/01/2013
57,-122.439332,37.758279,01/01/2014
58,-122.416281,37.748932,01/01/2010
59,-122.416281,37.748932,01/01/2011
60,-122.416281,37.748932,01/01/2013
61,-122.26553,37.879825,01/01/2010
62,-122.26553,37.879825,01/01/2011
63,-122.26553,37.879825,01/01/2012
64,-122.26553,37.879825,01/01/2013
65,-122.482483,37.722631,01/01/2013
66,-121.705327,37.189396,01/01/2012
67,-121.705327,37.189396,01/01/2013
68,-120.712459,35.464793,01/01/2008
69,-120.712459,35.464793,01/01/2009
70,-120.712459,35.464793,01/01/2010
71,-120.712459,35.464793,01/01/2011
72,-120.712459,35.464793,01/01/2012
73,-120.712459,35.464793,01/01/2013
74,-122.393681,37.769029,01/01/2014
75,-122.475732,37.761179,01/01/2014
76,-122.416281,37.748932,01/01/2012
77,-122.416281,37.748932,01/01/2013
78,-122.144826,37.893124,01/01/1998
79,-122.144826,37.893124,01/01/1999
80,-122.144826,37.893124,01/01/2000
81,-122.144826,37.893124,01/01/2001
82,-122.144826,37.893124,01/01/2002
83,-122.144826,37.893124,01/01/2003
84,-122.144826,37.893124,01/01/2004
85,-122.144826,37.893124,01/01/2005
86,-122.144826,37.893124,01/01/2006
87,-122.144826,37.893124,01/01/2007
88,-122.144826,37.893124,01/01/2008
89,-122.144826,37.893124,01/01/2009
90,-122.144826,37.893124,01/01/2010
91,-122.144826,37.893124,01/01/2011
92,-122.144826,37.893124,01/01/2012
93,-122.144826,37.893124,01/01/2013
94,-122.144826,37.893124,01/01/2014
95,-122.59184,37.986473,01/01/2003
96,-122.59184,37.986473,01/01/2004
97,-122.59184,37.986473,01/01/2005
98,-122.59184,37.986473,01/01/2006
99,-122.59184,37.986473,01/01/2007
100,-122.59184,37.986473,01/01/2008
101,-122.59184,37.986473,01/01/2009
102,-122.59184,37.986473,01/01/2010
103,-122.59184,37.986473,01/01/2011
104,-122.59184,37.986473,01/01/2012
105,-122.59184,37.986473,01/01/2013
106,-122.242029,37.85983,01/01/2008
107,-122.242029,37.85983,01/01/2009
108,-122.242029,37.85983,01/01/2010
109,-122.242029,37.85983,01/01/2011
110,-122.242029,37.85983,01/01/2012
111,-122.242029,37.85983,01/01/2013
112,-122.242029,37.85983,01/01/2014
113,-121.705327,37.189396,01/01/2002
114,-121.705327,37.189396,01/01/2003
115,-121.705327,37.189396,01/01/2004
116,-121.705327,37.189396,01/01/2007
117,-121.705327,37.189396,01/01/2009
118,-121.705327,37.189396,01/01/2010
119,-121.705327,37.189396,01/01/2011
120,-121.705327,37.189396,01/01/2012
121,-121.705327,37.189396,01/01/2013
122,-122.099224,37.838926,01/01/2004
123,-122.099224,37.838926,01/01/2005
124,-122.099224,37.838926,01/01/2006
125,-122.099224,37.838926,01/01/2007
126,-122.099224,37.838926,01/01/2008
127,-122.099224,37.838926,01/01/2009
128,-122.099224,37.838926,01/01/2010
129,-122.099224,37.838926,01/01/2011
130,-122.099224,37.838926,01/01/2012
131,-122.099224,37.838926,01/01/2013
132,-122.099224,37.838926,01/01/2014
133,-122.480015,37.616774,01/01/2012
134,-122.480015,37.616774,01/01/2013
135,-122.459982,37.778779,01/01/1993
136,-122.459982,37.778779,01/01/1994
137,-122.459982,37.778779,01/01/1995
138,-122.459982,37.778779,01/01/1996
139,-122.459982,37.778779,01/01/1997
140,-122.459982,37.778779,01/01/1998
141,-122.459982,37.778779,01/01/1999
142,-122.459982,37.778779,01/01/2000
143,-122.459982,37.778779,01/01/2001
144,-122.459982,37.778779,01/01/2002
145,-122.459982,37.778779,01/01/2003
146,-122.459982,37.778779,01/01/2004
147,-122.459982,37.778779,01/01/2005
148,-122.459982,37.778779,01/01/2006
149,-122.459982,37.778779,01/01/2007
150,-122.459982,37.778779,01/01/2008
151,-122.459982,37.778779,01/01/2009
152,-122.459982,37.778779,01/01/2010
153,-122.459982,37.778779,01/01/2011
154,-122.459982,37.778779,01/01/2012
155,-122.459982,37.778779,01/01/2013
156,-122.30248,37.918024,01/01/1993
157,-122.30248,37.918024,01/01/1995
158,-122.30248,37.918024,01/01/1996
159,-122.30248,37.918024,01/01/1997
160,-122.30248,37.918024,01/01/1998
161,-122.30248,37.918024,01/01/1999
162,-122.30248,37.918024,01/01/2000
163,-122.30248,37.918024,01/01/2001
164,-122.30248,37.918024,01/01/2002
165,-122.30248,37.918024,01/01/2003
166,-122.30248,37.918024,01/01/2004
167,-122.30248,37.918024,01/01/2005
168,-122.30248,37.918024,01/01/2006
169,-122.30248,37.918024,01/01/2007
170,-122.30248,37.918024,01/01/2008
171,-122.30248,37.918024,01/01/2009
172,-122.30248,37.918024,01/01/2010
173,-122.30248,37.918024,01/01/2011
174,-122.30248,37.918024,01/01/2012
175,-122.30248,37.918024,01/01/2013
176,-122.30248,37.918024,01/01/2014
177,-120.018973,37.572907,01/01/2005
178,-120.018973,37.572907,01/01/2006
179,-120.018973,37.572907,01/01/2008
180,-120.018973,37.572907,01/01/2010
181,-120.018973,37.572907,01/01/2011
182,-120.018973,37.572907,01/01/2012
183,-120.018973,37.572907,01/01/2013
184,-120.018973,37.572907,01/01/2014
185,-122.012778,38.407405,01/01/1993
186,-122.012778,38.407405,01/01/1994
187,-122.012778,38.407405,01/01/1995
188,-122.012778,38.407405,01/01/1996
189,-122.012778,38.407405,01/01/1997
