type,t,p,v
current,0,0,0
current,1,0,0
deadend,1,0,-
current,0,0,0
current,1,1,1
current,2,3,2
current,3,5,2
current,4,7,2
current,5,10,3
current,6,14,4
current,7,19,5
current,8,25,6
current,9,32,7
current,10,38,6
current,11,45,7
current,12,51,6
current,13,58,7
current,14,66,8
current,15,75,9
current,16,85,10
current,17,96,11
current,18,108,12
current,19,121,13
current,20,135,14
current,21,148,13
current,22,162,14
current,23,175,13
current,24,189,14
current,25,204,15
current,26,220,16
current,27,237,17
current,28,255,18
current,29,274,19
current,30,294,20
current,31,315,21
current,32,337,22
current,33,360,23
current,34,384,24
current,35,409,25
current,36,435,26
current,37,462,27
current,38,490,28
current,39,519,29
current,40,549,30
current,41,580,31
current,42,612,32
current,43,645,33
current,44,679,34
current,45,714,35
current,46,750,36
current,47,787,37
current,48,825,38
current,49,864,39
current,50,902,38
current,51,941,39
current,52,981,40
current,53,1022,41
current,54,1064,42
current,55,1107,43
current,56,1151,44
current,57,1196,45
current,58,1242,46
current,59,1289,47
current,60,1337,48
current,61,1386,49
current,62,1436,50
current,63,1487,51
current,64,1539,52
current,65,1592,53
current,66,1644,52
current,67,1697,53
current,68,1751,54
current,69,1806,55
current,70,1862,56
current,71,1919,57
current,72,1977,58
current,73,2034,57
current,74,2090,56
current,75,2147,57
current,76,2205,58
current,77,2264,59
current,78,2324,60
current,79,2385,61
current,80,2447,62
current,81,2510,63
current,82,2574,64
current,83,2639,65
current,84,2705,66
current,85,2772,67
current,86,2840,68
current,87,2909,69
current,88,2979,70
current,89,3050,71
current,90,3122,72
current,91,3195,73
current,92,3269,74
current,93,3344,75
current,94,3420,76
current,95,3497,77
current,96,3575,78
current,97,3654,79
current,98,3734,80
current,99,3815,81
current,100,3897,82
current,101,3980,83
current,102,4064,84
current,103,4149,85
current,104,4235,86
current,105,4320,85
current,106,4406,86
current,107,4493,87
current,108,4581,88
current,109,4670,89
current,110,4760,90
current,111,4851,91
current,112,4943,92
current,113,5036,93
current,114,5130,94
current,115,5225,95
current,116,5321,96
current,117,5416,95
current,118,5510,94
current,119,5603,93
current,120,5697,94
current,121,5792,95
current,122,5888,96
